BUSINESS_NAME,OFFICE_ADDRESS1,OFFICE_ADDRESS2,OFFICE_CITY,OFFICE_STATE,OFFICE_ZIPCODE,OFFICE_TELEPHONE,OFFICE_WEBSITE,ADVISOR_NAME,ADVISOR_EMAIL,ADVISOR_ID
WHEATLAND ADVISORS INC,144 EAST CHESTNUT ST,,LANCASTER,PA,17602,7172996090,WHEATLANDADVISORS.COM,Paul Sochovka,Paul.Sochovka@WHEATLANDADVISORS.COM,105026
VSS FUND MANAGEMENT LLC,55 EAST 52ND STREET,33RD FLOOR,NEW YORK,NY,10055,2129354990,WWW.VSS.COM,Paul Stuart,Paul.Stuart@VSS.COM,156600
"BEACON CAPITAL PARTNERS, LLC",200 STATE STREET,,BOSTON,MA,02109-2605,6174570400,WWW.BEACONCAPITAL.COM,Paul Thorp,Paul.Thorp@BEACONCAPITAL.COM,158137
AMERICAN RESEARCH & MANAGEMENT CO,145 FRONT STREET,,MARION,MA,02738,5087481665,WWW.ARM-CO.COM/,Paul Trueman,Paul.Trueman@ARM-CO.COM/,6080
"WALTON STREET CAPITAL, L.L.C.",900 N. MICHIGAN AVE.,SUITE 1900,CHICAGO,IL,60611,3129152800,WWW.WALTONST.COM,Patricia Tuberville,Patricia.Tuberville@WALTONST.COM,147210
"ADAMS DIVERSIFIED EQUITY FUND, INC.","500 E. PRATT STREET, SUITE 1300",,BALTIMORE,MD,21202-3580,4107525900,WWW.ADAMSFUNDS.COM,Paul Valenti,Paul.Valenti@ADAMSFUNDS.COM,281263
BURNS & LEVINSON ASSET MANAGEMENT,125 SUMMER STREET,,BOSTON,MA,02110-1624,6173453400,WWW.BLASSET.COM/,Pearl Villasenor,Pearl.Villasenor@BLASSET.COM/,108191
SWAIMBROWN WEALTH MANAGEMENT LLC,301 NORTH BROAD STREET,,CLINTON,SC,29325,8648334450,WWW.SWAIMBROWN.COM/ACCOUNTANTS/SERVICES/WEALTH.HTM,Pasquale Visone,Pasquale.Visone@SWAIMBROWN.COM/ACCOUNTANTS/SERVICES/WEALTH.HTM,133492
"CRESTLINE DENALI CAPITAL, L.P.","2001 SPRING RD, SUITE 220",,OAK BROOK,IL,60523-3918,6309282560,WWW.DENALICAP.COM,Patricia Waldschmidt,Patricia.Waldschmidt@DENALICAP.COM,126953
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","200 CLARENDON STREET, 30TH FLOOR",,BOSTON,MA,02116,6179190000,WWW.ARROWSTREETCAPITAL.COM,Pamela Werner,Pamela.Werner@ARROWSTREETCAPITAL.COM,111298
"FORTRESS RETIREMENT, INC.",9696 CULVER BLVD,SUITE 107,CULVER CITY,CA,90232,3108990606,WWW.FORTRESSRETIREMENT.COM,Pamela Wieser,Pamela.Wieser@FORTRESSRETIREMENT.COM,110279
"FPA REAL ESTATE ADVISERS GROUP, LLC","2082 MICHELSON DRIVE,",4TH FLOOR,IRVINE,CA,92612,9493992500,WWW.FPAMF.COM,Patricia Wietrzykowski,Patricia.Wietrzykowski@FPAMF.COM,288195
WINSTON CAPITAL MANAGEMENT LLC,3030 CLARENDON BOULEVARD,SUITE 900,ARLINGTON,VA,22201,7039059555,WWW.WINSTONPARTNERS.COM,Patrick Smith,Patrick.Smith@WINSTONPARTNERS.COM,111450
"RP MANAGEMENT, LLC","110 EAST 59TH STREET, SUITE 3300",,NEW YORK,NY,10022,2128830200,WWW.ROYALTYPHARMA.COM,Patricia Yancey,Patricia.Yancey@ROYALTYPHARMA.COM,161569
"SIVIA CAPITAL PARTNERS, LLC","100 PINE STREET, SUITE 2700",,SAN FRANCISCO,CA,94111,4152299042,SIVIACAPITAL.COM,Robert Adamick,Robert.Adamick@SIVIACAPITAL.COM,170413
"SHELTER ROCK MANAGEMENT, LLC",375 NORTH BROADWAY,SUITE 207,JERICHO,NY,11753,5166052215,WWW.SHELTERROCKMANAGEMENT.COM,Robert Adams,Robert.Adams@SHELTERROCKMANAGEMENT.COM,142739
"WEST SIDE ADVISORS, LLC",1995 BROADWAY,8TH FLOOR,NEW YORK,NY,10023,2127122100,WWW.WSADV.COM,Robert Allen,Robert.Allen@WSADV.COM,112578
PRIVET FUND MANAGEMENT LLC,79 WEST PACES FERRY ROAD,SUITE 200B,ATLANTA,GA,30305,4049493101,WWW.PRIVETFUND.COM,Robert Allen,Robert.Allen@PRIVETFUND.COM,167943
BTR CAPITAL MANAGEMENT INC,550 KEARNY STREET,SUITE 510,SAN FRANCISCO,CA,94108,4159890100,WWW.BTRCAP.COM,Robert Andrews,Robert.Andrews@BTRCAP.COM,105195
"QUANTITATIVE ADVANTAGE, LLC",10400 YELLOW CIRCLE DRIVE,SUITE 303,MINNETONKA,MN,55343,9527678007,WWW.QAINVEST.COM,Russell Ankrom,Russell.Ankrom@QAINVEST.COM,110575
"FORTUNE WEALTH MANAGEMENT, LLC",12222 MERIT DRIVE,SUITE 1050,DALLAS,TX,75251-2231,9727168002,WWW.FORTUNEWEALTHMANAGEMENT.COM,Risa Anthony,Risa.Anthony@FORTUNEWEALTHMANAGEMENT.COM,157832
NEWE WEALTH MANAGEMENT LLC,4500 GREAT AMERICA PARKWAY,,SANTA CLARA,CA,95054,4089662807,WWW.NEWEWM.COM,Ronald Arrowood,Ronald.Arrowood@NEWEWM.COM,282048
ADVICE AND PLANNING SERVICES,730 THIRD AVENUE,,NEW YORK,NY,10017-3206,2124909000,WWW.TIAA.ORG,Ronald Attkisson,Ronald.Attkisson@TIAA.ORG,20472
"STONECASTLE CASH MANAGEMENT, LLC",152 WEST 57TH STREET,35TH FLOOR,NEW YORK,NY,10019,2123546500,WWW.FICAACCOUNT.COM,Ronald Beever,Ronald.Beever@FICAACCOUNT.COM,150592
"HARBERT FUND ADVISORS, INC.","2100 THIRD AVENUE NORTH, STE 600",,BIRMINGHAM,AL,35203,205/9875500,WWW.HARBERT.NET,Raymond Bender,Raymond.Bender@HARBERT.NET,110577
E. MAGNUS OPPENHEIM & CO. INC.,261 MADISON AVENUE / SUITE 9015,,NEW YORK,NY,10016-2303,2129831818,WWW.EMAGNUS.COM,Robert Bingenheimer,Robert.Bingenheimer@EMAGNUS.COM,14268
"GABELLI & COMPANY INVESTMENT ADVISERS, INC.",ONE CORPORATE CENTER,,RYE,NY,10580,9149215135,WWW.ASSOCIATED-CAPITAL-GROUP.COM,Richard Blevins,Richard.Blevins@ASSOCIATED-CAPITAL-GROUP.COM,137024
"CONRAD CAPITAL MANAGEMENT, INC.",1377 MOTOR PARKWAY,SUITE 406,ISLANDIA,NY,11749,6314397878,WWW.CONRADCAPITAL.COM/,Richard Boehme,Richard.Boehme@CONRADCAPITAL.COM/,113648
UNDERHILL INVESTMENT MANAGEMENT LLC,100 DRAKES LANDING ROAD,SUITE 100,GREENBRAE,CA,94904,4157853670,WWW.UNDERHILLMGMT.COM,Richard Bonn,Richard.Bonn@UNDERHILLMGMT.COM,140390
"KUHN ADVISORS, INC.",3622 LYCKAN PARKWAY,SUITE 1001,DURHAM,NC,27707,9194933233,KUHNADVISORS.COM/,Roger Bourne,Roger.Bourne@KUHNADVISORS.COM/,117816
"WELLINGTON SHIELDS CAPITAL MANAGEMENT, LLC",140 BROADWAY,,NEW YORK,NY,10005,2123203000,WWW.WELLINGTONSHIELDS.COM,Richard Brown,Richard.Brown@WELLINGTONSHIELDS.COM,150529
ALLY INVEST ADVISORS,11605 N COMMUNITY HOUSE ROAD,SUITE 300,CHARLOTTE,NC,28277,8558802559,WWW.ALLY.COM/INVEST,Rickie Bruton,Rickie.Bruton@ALLY.COM/INVEST,170301
"WASSERMAN WEALTH MANAGEMENT, LLC",31700 MIDDLEBELT ROAD,SUITE 130,FARMINGTON HILLS,MI,48334,2486263900,WWW.WASSERMANWEALTH.COM,Robert Burchill,Robert.Burchill@WASSERMANWEALTH.COM,124556
"CRESTWOOD CAPITAL MANAGEMENT, L.P.","575 LEXINGTON AVENUE, 29 TH FLOOR",,NEW YORK,NY,10022,2126123040,WWW.CRESTWOODFUNDS.COM,Ruthann Burgess,Ruthann.Burgess@CRESTWOODFUNDS.COM,160807
"IFM INVESTORS (US) ADVISOR, LLC",114 WEST 47TH STREET,26TH FLOOR,NEW YORK,NY,10036,2127842260,WWW.IFMINVESTORS.COM,Randy Burke,Randy.Burke@IFMINVESTORS.COM,146366
FRONTEGRA ASSET MANAGEMENT INC,"400 SKOKIE BLVD, SUITE 500",,NORTHBROOK,IL,60062,8475099860,WWW.FRONTIERMUTUALFUNDS.COM,Ricky Burrell,Ricky.Burrell@FRONTIERMUTUALFUNDS.COM,107420
MASTERS LEGACY PLANNING,650 NEW ROAD,SUITE B,LINWOOD,NJ,08821,6096010800,WWW.MASTERSLEGACY.COM/,Robert Byrd,Robert.Byrd@MASTERSLEGACY.COM/,296314
"EMPYRION WEALTH MANAGEMENT, INC.",3741 DOUGLAS BLVD,STE 130,ROSEVILLE,CA,95661,9167867626,WWW.EMPYRIONWEALTH.COM,Ralph Byron Jr,Ralph.Byron Jr@EMPYRIONWEALTH.COM,105888
"ALERA INVESTMENT ADVISORS, LLC",THREE PARKWAY NORTH,SUITE 500,DEERFIELD,IL,60015-2567,8474573000,ALERAINVESTMENTADVISORS.COM,Ramon Canales,Ramon.Canales@ALERAINVESTMENTADVISORS.COM,287906
SHELTER GROWTH CAPITAL PARTNERS LLC,ONE DOCK STREET,SUITE 501,STAMFORD,CT,06902,2033556100,WWW.SHELTERGROWTH.COM,Richard Carniewski,Richard.Carniewski@SHELTERGROWTH.COM,170685
OZ MANAGEMENT LP,9 WEST 57TH STREET,39TH FLOOR,NEW YORK,NY,10019,2127900000,WWW.OZCAP.COM,Robert Carver,Robert.Carver@OZCAP.COM,107913
"BMS FINANCIAL ADVISORS, LLC",1508 MOUNTAIN VIEW ROAD,SUITE 101,RAPID CITY,SD,57702,6053411555,WWW.BMSADVISORS.COM/,Ronald Chacon,Ronald.Chacon@BMSADVISORS.COM/,134738
PAX ELLEVATE MANAGEMENT LLC,30 PENHALLOW STREET,SUITE 400,PORTSMOUTH,NH,03801,6034318022,WWW.PAXELLEVATE.COM,Randy Childers,Randy.Childers@PAXELLEVATE.COM,170485
"SPIRE WEALTH MANAGEMENT, LLC",1840 MICHAEL FARADAY DR.,SUITE 105,RESTON,VA,20190,7036576060,WWW.CORBETTROAD.COM,Ronald Chraston,Ronald.Chraston@CORBETTROAD.COM,113908
"FOREFRONT ANALYTICS, LLC",ONE TOWER BRIDGE,"100 FRONT STREET, SUITE 1111",W. CONSHOHOCKEN,PA,19428,6103413900,WWW.FOREFRONTANALYTICS.NET,Randall Circle,Randall.Circle@FOREFRONTANALYTICS.NET,153016
BAYSHORE WEALTH ADVISORS,2333 PONCE DE LEON BLVD,SUITE 950,CORAL GABLES,FL,33134,7868889400,WWW.BAYSHOREWEALTH.COM,Russell Clark,Russell.Clark@BAYSHOREWEALTH.COM,144191
"METROPOLITAN REAL ESTATE EQUITY MANAGEMENT, LLC",299 PARK AVENUE,35TH FLOOR,NEW YORK,NY,10171,2128124950,WWW.MREEM.COM/,Randall Clark,Randall.Clark@MREEM.COM/,137813
"AMICUS FINANCIAL ADVISORS, LLC",3814 24TH STREET,,LUBBOCK,TX,79410,8066981122,WWW.THEPECKPERSPECTIVE.COM,Roberta Clark,Roberta.Clark@THEPECKPERSPECTIVE.COM,131315
ONE ROCK CAPITAL,30 ROCKEFELLER PLAZA,54TH FLOOR,NEW YORK,NY,10112,2126056000,WWW.ONEROCKCAPITAL.COM,Thomas Clark,Thomas.Clark@ONEROCKCAPITAL.COM,160972
"NYES LEDGE CAPITAL MANAGEMENT, LLC",175 FEDERAL STREET,SUITE 730,BOSTON,MA,02110,6173505080,WWW.NYESLEDGE.COM,Robert Clendenin,Robert.Clendenin@NYESLEDGE.COM,156746
"LANDAU ARNOLD LAUFER WEALTH MANAGEMENT, LLC",406 DEER PARK AVENUE,,BABYLON,NY,11702,6312269600,WWW.LALCPA.COM/WEALTH.PHP,Richard Colunga,Richard.Colunga@LALCPA.COM/WEALTH.PHP,173446
"FRANKLIN TEMPLETON PORTFOLIO ADVISORS, INC.",ONE FRANKLIN PARKWAY,,SAN MATEO,CA,94403-1906,8008228464,WWW.FRANKLINTEMPLETON.COM/,Raymond Cowles,Raymond.Cowles@FRANKLINTEMPLETON.COM/,111372
"PERENNIAL CAPITAL ADVISORS, LLC",ONE WASHINGTON,11TH FLOOR,BOSTON,MA,02108,6172488960,WWW.PERENNIALCAP.COM,George Cox,George.Cox@PERENNIALCAP.COM,156289
CHEROKEE & WALKER MANAGEMENT,6440 SOUTH WASATCH BOULEVARD,SUITE 200,SALT LAKE CITY,UT,84121,8012787800,CHEROKEEANDWALKER.COM,Robert Criswell,Robert.Criswell@CHEROKEEANDWALKER.COM,160962
"SIMCOE CAPITAL MANAGEMENT, LLC",509 MADISON AVE,SUITE 2200,NEW YORK,NY,10022,2124487400,WWW.SIMCOEPARTNERS.COM/,Ronald Crowder,Ronald.Crowder@SIMCOEPARTNERS.COM/,161985
"TRUE NORTH ADVISORS, LLC",3131 TURTLE CREEK,SUITE 1300,DALLAS,TX,75219,2143607300,WWW.TRUENORTHADVISORS.COM,Richard Cwiklinski,Richard.Cwiklinski@TRUENORTHADVISORS.COM,116048
"NORTH SHORE PRIVATE ASSET MANAGEMENT, LLC",222 E. WISCONSIN AVE,SUITE 102,LAKE FOREST,IL,60045,8883754918,WWW.NSPRIVATEAM.COM,Ray Czerwinski,Ray.Czerwinski@NSPRIVATEAM.COM,130132
PRICEWATERHOUSECOOPERS INVESTMENT ADVISERS LLC,300 MADISON AVENUE,,NEW YORK,NY,10017,6464714000,WWW.PWC.COM,Roger Danis,Roger.Danis@PWC.COM,110974
"ECHO STREET CAPITAL MANAGEMENT, LLC",10 EAST 53RD STREET,32ND FLOOR,NEW YORK,NY,10022,2126472424,WWW.ECHOSTREETCAPITAL.COM,Robert Davis,Robert.Davis@ECHOSTREETCAPITAL.COM,160268
"HEARTLAND WEALTH ADVISORS, LLC",7015 COLLEGE BLVD,SUITE 750,OVERLAND PARK,KS,66211,9134698227,WWW.HEARTLAND-ADVISORS.COM,Rebecca Davis,Rebecca.Davis@HEARTLAND-ADVISORS.COM,115156
THREE BELL CAPITAL LLC,4 MAIN STREET,SUITE 230,LOS ALTOS,CA,94022,6508439836,WWW.THREE-BELL.COM.,Robert Deangelo II,Robert.Deangelo II@THREE-BELL.COM.,159736
"E & G ADVISORS, LP",2000 WEST LOOP SOUTH,SUITE 2011,HOUSTON,TX,77027,7138805819,WWW.EANDGADVISORS.COM,Robert Delacruz,Robert.Delacruz@EANDGADVISORS.COM,130550
BMO GLOBAL ASSET MANAGEMENT,1001 BRICKELL BAY DRIVE,SUITE 2100,MIAMI,FL,33131-4940,3053792100,WWW.BMOGAM.COM/TCH,Ramon Delgado Oros,Ramon.Delgado Oros@BMOGAM.COM/TCH,149280
"CUSHING ASSET MANAGEMENT, LP",8117 PRESTON ROAD,SUITE 440,DALLAS,TX,75225,2146926334,WWW.CUSHINGASSET.COM,Robert Dicus,Robert.Dicus@CUSHINGASSET.COM,131517
VALLEY NATIONAL ADVISERS INC,1655 VALLEY CENTER PARKWAY,SUITE 100,BETHLEHEM,PA,18017,6108689000,WWW.VALLEYNATIONALGROUP.COM,Robert Dillon,Robert.Dillon@VALLEYNATIONALGROUP.COM,110788
"TRAVERSO CHAMBERS PRIVATE WEALTH MANAGEMENT, LLC",917 MENDOCINO AVE,,SANTA ROSA,CA,95401,7075231111,WWW.TRAVERSOCHAMBERS.COM/,Robert Dinning,Robert.Dinning@TRAVERSOCHAMBERS.COM/,294019
"CRAWFORD LAKE CAPITAL MANAGEMENT, LLC",15 AMERICA AVENUE,SUITE 210,LAKEWOOD,NJ,08701,7325340688,WWW.CRAWFORDLAKECAPITAL.COM,Roger Donaldson,Roger.Donaldson@CRAWFORDLAKECAPITAL.COM,175132
"COMPASS ANALYTICS, LLC",580 CALIFORNIA STREET,SUITE 1725,SAN FRANCISCO,CA,94104,4154627500,WWW.COMPASS-ANALYTICS.COM,Robyn Dugan,Robyn.Dugan@COMPASS-ANALYTICS.COM,130459
U.S. INSTITUTIONAL CORPORATION,530 MARYVILLE CENTRE DRIVE,SUITE 230,ST. LOUIS,MO,63141,3149650426,WWW.USINSTITUTIONAL.COM,Raymond Dunlap,Raymond.Dunlap@USINSTITUTIONAL.COM,135555
SAGE ROAD CAPITAL,2121 SAGE ROAD,SUITE 325,HOUSTON,TX,77056,7133641400,SAGEROADCAPITAL.COM/,Ricky Anderson,Ricky.Anderson@SAGEROADCAPITAL.COM/,164952
"AXA ADVISORS, LLC",1290 AVENUE OF THE AMERICAS,,NEW YORK,NY,10104,2123144600,AXA.US.COM,Robert Edge,Robert.Edge@AXA.US.COM,6627
NEW AMSTERDAM PARTNERS LLC,475 PARK AVE SOUTH,20TH FLOOR,NEW YORK,NY,10016-6901,2126891500,NAPLLC.COM,Richard Emery,Richard.Emery@NAPLLC.COM,105462
FIM GROUP,111 CASS STREET,,TRAVERSE CITY,MI,49684,2319294500,WWW.FIMG.NET,Rhonda Eschrich,Rhonda.Eschrich@FIMG.NET,109811
STEADFAST CAPITAL MANAGEMENT LP,450 PARK AVENUE,20TH FLOOR,NEW YORK,NY,10022,2124154600,WWW.STEADFAST.COM,Randall Essick,Randall.Essick@STEADFAST.COM,157124
EAGLECLAW CAPITAL MANAGEMENT LLC,111 DEVONSHIRE ST,,BOSTON,MA,02109,6174260417,WWW.EAGLECLAWCAPITAL.COM/,Robert Euen,Robert.Euen@EAGLECLAWCAPITAL.COM/,134045
MARQUIS WEALTH MANAGEMENT GROUP,6216 WHISKEY CREEK DRIVE,SUITE A,FT. MYERS,FL,33919,2394541117,WWW.MARQUISWEALTHGROUP.COM,Ronald Falasco,Ronald.Falasco@MARQUISWEALTHGROUP.COM,116604
"CLEAR CREEK FINANCIAL MANAGEMENT, LLC",9361 BAYSHORE DRIVE NW,,SILVERDALE,WA,98383,3603088239,WWW.STRIVEPLANNING.COM,Ronald Feldkamp,Ronald.Feldkamp@STRIVEPLANNING.COM,170602
INVESCO CAPITAL MANAGEMENT LLC,3500 LACEY ROAD,SUITE 700,DOWNERS GROVE,IL,60515,8009830903,ETF.INVESCO.COM/EN,Remo Ferrante,Remo.Ferrante@ETF.INVESCO.COM/EN,125601
LEXION CAPITAL MANAGEMENT LP,41 MADISON AVE,31ST FLOOR,NEW YORK,NY,10010,8884529355,WWW.LEXIONCAPITAL.COM,Ryan Fitzgerald,Ryan.Fitzgerald@LEXIONCAPITAL.COM,153273
"ARMOR ADVISORS, L.L.C.",410 PARK AVENUE,SUITE 530,NEW YORK,NY,10022,6468738501,WWW.ARMORCAPITAL.COM,Randy Forest,Randy.Forest@ARMORCAPITAL.COM,157238
COMVEST ADVISORS LLC,CITYPLACE TOWER,525 OKEECHOBEE BLVD STE 1050,WEST PALM BEACH,FL,33401,5617272000,WWW.COMVEST.COM,Rosalyn Foster,Rosalyn.Foster@COMVEST.COM,160753
"FRANKLIN ADVISERS, INC.",ONE FRANKLIN PARKWAY,,SAN MATEO,CA,94403-1906,6503123000,WWW.FRANKLINTEMPLETON.COM/,Rosita Gallagher,Rosita.Gallagher@FRANKLINTEMPLETON.COM/,104517
"MOAB CAPITAL PARTNERS, LLC",152 WEST 57TH STREET,9TH FLOOR,NEW YORK,NY,10019,2129812646,WWW.MOABPARTNERS.COM,Raul Garcia,Raul.Garcia@MOABPARTNERS.COM,154855
"ENDURANCE ASSET MANAGEMENT, LLC",141 W. JACKSON,STE 1531A,CHICAGO,IL,60604,3129845865,WWW.ENDURANCEMGT.COM/,Robert Gardner,Robert.Gardner@ENDURANCEMGT.COM/,136853
ASSET PLANNING CORPORATION,1615 FORUM PLACE,SUITE 1A,W. PALM BEACH,FL,33401,5616895724,WWW.FPIGINC.COM,Robert Garrabrant,Robert.Garrabrant@FPIGINC.COM,126242
"PENWOOD REAL ESTATE INVESTMENT MANAGEMENT, LLC",1 FINANCIAL PLAZA,12TH FLOOR,HARTFORD,CT,06103,8602186536,WWW.PENWOODRE.COM,Ricky Garrett,Ricky.Garrett@PENWOODRE.COM,130289
"PINNACLE ASSET MANAGEMENT, L.P.",712 FIFTH AVENUE,29TH FLOOR,NEW YORK,NY,10019-4108,2127501778,WWW.PINNACLE-LP.COM,Remijio Garza,Remijio.Garza@PINNACLE-LP.COM,126487
ACCESS INVESTMENT ADVISORS INC,4400 CALUMET AVE.,SUITE 201,MANITOWOC,WI,54220-4624,9206839901,ACCESSINVESTMENTADVISORS.COM,Raul Garza,Raul.Garza@ACCESSINVESTMENTADVISORS.COM,109006
"FCG WEALTH MANAGEMENT, LLC",ONE MAIN STREET,SUITE 202,CHATHAM,NJ,07928,9736357374,WWW.BARLEYMILLAM.COM,Robert Gavin,Robert.Gavin@BARLEYMILLAM.COM,281165
"WESTPARK CAPITAL, INC.",1900 AVENUE OF THE STARS,SUITE 310,LOS ANGELES,CA,90067,3108439300,WWW.WPCAPITAL.COM,Robert Gerda,Robert.Gerda@WPCAPITAL.COM,39914
PJS INVESTMENT MANAGEMENT,W62 N570 WASHINGTON AVENUE,,CEDARBURG,WI,53012,2623770484,PJSINVESTMENT.COM,Richard Getz,Richard.Getz@PJSINVESTMENT.COM,104701
AUTUMN WIND ASSET MANAGEMENT INC,"10132 COLVIN RUN ROAD, SUITE G",,GREAT FALLS,VA,22066,7037573848,WWW.AUTUMNWIND.COM,Richard Gilbert,Richard.Gilbert@AUTUMNWIND.COM,110569
"CIG ASSET MANAGEMENT, INC.",1000 TOWN CENTER,SUITE 2500,SOUTHFIELD,MI,48075,2488271010,WWW.CIGCAPITALADVISORS.COM,Rosemary Gilbertson,Rosemary.Gilbertson@CIGCAPITALADVISORS.COM,123609
MCDONALD CAPITAL MANAGEMENT,8001 QUAKER AVENUE,SUITE J,LUBBOCK,TX,79424,8067448617,WWW.MCDCAP.COM,Rachael Gitlitz,Rachael.Gitlitz@MCDCAP.COM,114531
APRIEM ADVISORS,19200 VON KARMAN AVENUE,SUITE 1050,IRVINE,CA,92612,9492538888,WWW.APRIEM.COM,Rod Goeser,Rod.Goeser@APRIEM.COM,108188
FIVE ELMS CAPITAL,4801 MAIN ST.,STE. 700,KANSAS CITY,MO,64112,9139538960,WWW.FIVEELMS.COM,Elizabeth Golis,Elizabeth.Golis@FIVEELMS.COM,163548
JAG CAPITAL MANAGEMENT LLC,9841 CLAYTON ROAD,,ST. LOUIS,MO,63124-1603,3149971277,WWW.JAGCAPM.COM,Ramon Gonzalez,Ramon.Gonzalez@JAGCAPM.COM,159227
"HOBART PRIVATE CAPITAL, LLC",7733 BALLANTYNE COMMONS PARKWAY,SUITE 101,CHARLOTTE,NC,28277,7045530123,WWW.HOBARTPRIVATECAPITAL.COM,Randall Goodman,Randall.Goodman@HOBARTPRIVATECAPITAL.COM,168494
"VISTA INVESTMENT MANAGEMENT, LLC","300 PENN CENTER BLVD., SUITE 620",,PITTSBURGH,PA,15235-5507,4128245940,WWW.VISTA-IM.COM,Ronald Graham,Ronald.Graham@VISTA-IM.COM,116068
"WATERFORD ADVISORS, LLC",6225 SHERIDAN DRIVE,SUITE 214,WILLIAMSVILLE,NY,14221-5806,7165803906,WATERFORDADV.COM/,Ronald Graham II,Ronald.Graham II@WATERFORDADV.COM/,119442
"WHITEHAVEN ASSET MANAGEMENT, LP",10 E 53RD STREET,SUITE 1800,NEW YORK,NY,10022,2122574930,WHITEHAVENLP.COM,Randy Grahame,Randy.Grahame@WHITEHAVENLP.COM,170531
"SPECTRUM FINANCIAL ALLIANCE, LTD., L.L.C.",105 WIND HAVEN DRIVE,,NICHOLASVILLE,KY,40356,8592236333,WWW.SPECTRUMALLIANCE.COM,Robin Granger,Robin.Granger@SPECTRUMALLIANCE.COM,125147
HEADLANDS CAPITAL,ONE FERRY BUILDING,SUITE 255,SAN FRANCISCO,CA,94111,4152637300,WWW.HEADLANDSCAP.NET/,Ronald Green,Ronald.Green@HEADLANDSCAP.NET/,163598
PVG ASSET MANAGEMENT CORP,"6898 S. UNIVERSITY BLVD., SUITE 100",,DENVER,CO,80122,3035260548,PVGASSETMANAGEMENT.COM,Richard Green,Richard.Green@PVGASSETMANAGEMENT.COM,105541
"TAX EQUITY ADVISORS, LLC",600 14TH STREET NW,,WASHINGTON,DC,20005,2029698880,WWW.TAXEQUITYADVISORS.COM,Roger Green,Roger.Green@TAXEQUITYADVISORS.COM,285849
R SQUARED CAPITAL,ONE ROCKEFELLER PLAZA,11TH FLOOR,NEW YORK,NY,10020,6467414956,RSQUAREDCAPITAL.COM,Richard Green,Richard.Green@RSQUAREDCAPITAL.COM,168432
"ETSPREADS, LLC",1050 17TH STREET,SUITE 1710,DENVER,CO,80265,8009559988,WWW.ETSPREADS.COM,Ricky Green,Ricky.Green@ETSPREADS.COM,148363
WESTWOOD MANAGEMENT CORPORATION,208 S LASALLE STREET,SUITE 1698,CHICAGO,IL,60604,3122363336,WWW.WESTWOOD-MANAGEMENT.COM,Ronald Griffing,Ronald.Griffing@WESTWOOD-MANAGEMENT.COM,110354
"INTEGRITY ADVISORY, LLC",12721 METCALF AVE SUITE 202,,OVERLAND PARK,KS,66213,9138972074,WWW.INTEGRITY-ADVISORY.COM,Ricky Grochowski,Ricky.Grochowski@INTEGRITY-ADVISORY.COM,133413
SHIRAISHI FINANCIAL GROUP ADVISORS,1585 KAPIOLANI BLVD.,SUITE 928,HONOLULU,HI,96814,8089517185,SHIRAISHIFINANCIALGROUP.COM,Richard Grzych,Richard.Grzych@SHIRAISHIFINANCIALGROUP.COM,168645
FLEETWOOD ASSET MANAGEMENT LTD.,31 MAMARONECK AVENUE,SUITE 513,WHITE PLAINS,NY,10601,9144681002,WWW.FLEETWOODASSET.COM,Ray Gurtatowski,Ray.Gurtatowski@FLEETWOODASSET.COM,132095
THE GOLUB GROUP,1850 GATEWAY DRIVE,SUITE 100,SAN MATEO,CA,94404-4060,6502122240,WWW.GOLUBGROUP.COM,Rigoberto Gutierrez,Rigoberto.Gutierrez@GOLUBGROUP.COM,128586
"MILL CREEK CAPITAL ADVISORS, LLC",161 WASHINGTON STREET,SUITE 1500,CONSHOHOCKEN,PA,19428,6109417700,WWW.MILLCREEKCAP.COM,Ron Hammes,Ron.Hammes@MILLCREEKCAP.COM,141470
"MAIN MANAGEMENT, LLC",601 CALIFORNIA STREET,SUITE 620,SAN FRANCISCO,CA,94108,4152175800,WWW.MAINMGT.COM,Renee Hargrave,Renee.Hargrave@MAINMGT.COM,120361
"CAPTION MANAGEMENT, LLC",900 NORTH BROADWAY AVENUE,SUITE 210,OKLAHOMA CITY,OK,73102,3477975101,WWW.CAPTIONPARTNERS.COM/,Richard Harris,Richard.Harris@CAPTIONPARTNERS.COM/,173841
CONSERVEST CAPITAL ADVISORS INC,257 E. LANCASTER AVENUE,SUITE 205,WYNNEWOOD,PA,19096,6106429588,CONSERVEST.COM,Robert Hawkins,Robert.Hawkins@CONSERVEST.COM,111353
"RCL ADVISORS, LLC",ONE GRAND CENTRAL PLACE,"60 EAST 42ND STREET, SUITE 2400",NEW YORK,NY,10165,2124525900,WWW.RCLADVISORS.COM,Robert Herriges,Robert.Herriges@RCLADVISORS.COM,142919
"BAM ADVISOR SERVICES, LLC",8182 MARYLAND AVENUE,SUITE 500,ST. LOUIS,MO,63105,3147250455,WWW.THEBAMALLIANCE.COM,Ronald Hess Jr,Ronald.Hess Jr@THEBAMALLIANCE.COM,143319
DEIGHAN WEALTH ADVISORS,455 HARLOW STREET,,BANGOR,ME,04401,2079901117,WWW.DEIGHAN.COM,Robert Hill,Robert.Hill@DEIGHAN.COM,105164
